0       0        0       0        bar0
6538.8       6538.8        6538.8       0        bar1         volume:1
6538.8       6538.8        6538.2       0        bar1         volume:1.498558
6538.8       6538.8        6537.7       0        bar1         volume:4.999999
6538.8       6538.8        6537.7       0        bar1         volume:4.99999942
6538.8       6538.8        6537.7       0        bar1         volume:5.55655742
6538.8       6538.8        6537.6       0        bar1         volume:8.61355742
6538.8       6538.8        6537.4       0        bar1         volume:9.99999742
6538.8       6538.8        6537.4       6537.4        bar1         volume:9.999997839999999
6538.2       6538.2        6538.2       6538.2        bar2         volume:0.025
6539.7       6539.7        6539.7       6539.7        bar3         volume:0.318
6538.9       6538.9        6538.9       6538.9        bar4         volume:0.025
6538.9       6538.9        6538.9       6538.9        bar5         volume:0.025
6538.9       6538.9        6538.9       0        bar6         volume:0.025
6538.9       6538.9        6538.9       6538.9        bar6         volume:0.05
6538.8       6538.8        6537.9       0        bar1         volume:4.556558
6535       6535        6535       6535        bar7         volume:0.58
6535       6535        6535       6535        bar8         volume:2.47
6535       6535        6535       6535        bar9         volume:0.28
6535       6535        6535       6535        bar10         volume:0.18
6535       6535        6535       6535        bar11         volume:0.25
6535       6535        6535       6535        bar12         volume:0.84
6535       6535        6535       6535        bar13         volume:0.09
6535       6535        6535       6535        bar14         volume:0.06
6535       6535        6535       6535        bar15         volume:0.04
6535       6535        6535       6535        bar16         volume:0.21
6534.8       6534.8        6534.8       6534.8        bar17         volume:0.004236
6534.1       6534.1        6534.1       6534.1        bar18         volume:0.26
6534.6       6534.6        6534.6       6534.6        bar19         volume:0.290564
6534.6       6534.6        6534.6       6534.6        bar20         volume:0.092206
6534.1       6534.1        6534.1       6534.1        bar21         volume:0.07
6534.5       6534.5        6534.5       6534.5        bar22         volume:0.1
6534.5       6534.5        6534.5       0        bar23         volume:0.05
6534.5       6534.5        6534.5       0        bar23         volume:0.1
6534.5       6534.5        6534.5       0        bar23         volume:0.12357760000000001
6534.5       6534.5        6534.5       0        bar23         volume:0.1255776
6534.5       6534.5        6534.5       0        bar23         volume:0.1735776
6534.5       6534.5        6534.5       0        bar23         volume:0.2735776
6534.5       6534.5        6534.5       0        bar23         volume:0.2985776
6534.5       6534.5        6534.5       0        bar23         volume:0.34857760000000004
6534.5       6534.5        6534.5       0        bar23         volume:0.3235776
6534.5       6534.5        6534.5       0        bar23         volume:0.37357760000000007
6534.5       6534.5        6534.5       0        bar23         volume:0.3985776000000001
6534.5       6534.5        6534.5       6534.5        bar23         volume:0.4000000100000001
6531       6531        6531       0        bar24         volume:0.01
6531       6531        6530.3       6530.3        bar24         volume:0.02
6530       6530        6530       0        bar25         volume:0.308003
6530       6530        6530       0        bar25         volume:0.30880007000000004
6530       6530        6529.7       6529.7        bar25         volume:1.30880007
6530       6530        6530       0        bar25         volume:0.48000007
6532.3       6532.3        6532.3       0        bar26         volume:0.467391
6532.3       6532.4        6532.3       6532.4        bar26         volume:0.8475245
6532.3       6532.3        6532.3       0        bar26         volume:0.5000005
6529.8       6529.8        6529.8       6529.8        bar27         volume:0.621496
6529.7       6529.7        6529.7       6529.7        bar29         volume:4.2e-7
6529.7       6529.7        6529.7       6529.7        bar28         volume:5
6529.2       6529.2        6529.2       0        bar30         volume:5
6529.2       6529.2        6529.2       0        bar30         volume:5.00000042
6529.2       6529.2        6528.1       0        bar30         volume:5.80200742
6529.2       6529.2        6528.1       0        bar30         volume:5.803930619999999
6529.2       6529.2        6528.1       0        bar30         volume:5.80392763
6529.2       6529.2        6528.1       6528.2        bar30         volume:5.814689619999999
6525       6525        6525       0        bar32         volume:0.25403
6525.9       6525.9        6525.9       6525.9        bar31         volume:0.0383089
6525       6525        6523.6       0        bar32         volume:0.37559
6525       6525        6522.1       6522.1        bar32         volume:0.4329307
6525       6525        6523.5       0        bar32         volume:0.4179307
6523.6       6523.6        6523.6       6523.6        bar33         volume:0.00828964
6523.7       6523.7        6523.7       6523.7        bar34         volume:0.016
6523.7       6523.7        6523.7       0        bar35         volume:0.006478
6523.6       6523.6        6523.6       6523.6        bar36         volume:0.0401949
6523.7       6523.7        6523.7       6523.7        bar35         volume:0.022478
6523.7       6523.7        6523.7       6523.7        bar37         volume:0.00629171
6523.5       6523.5        6523.5       6523.5        bar39         volume:0.1089
6523.7       6523.7        6523.7       6523.7        bar38         volume:0.005756
6523.7       6523.7        6523.7       6523.7        bar40         volume:0.015
6523.7       6523.7        6523.7       6523.7        bar42         volume:0.104865
6523.7       6523.7        6523.7       6523.7        bar41         volume:0.03
6523.7       6523.7        6523.7       6523.7        bar43         volume:0.002301
6523.8       6523.8        6523.8       6523.8        bar45         volume:0.002
6523.7       6523.7        6523.7       6523.7        bar44         volume:0.0464593
6525       6525        6525       6525        bar46         volume:0.0557047
6524.9       6524.9        6524.9       6524.9        bar47         volume:0.002411
6524.9       6524.9        6524.9       6524.9        bar48         volume:0.104083
6524.9       6524.9        6524.9       0        bar50         volume:0.106182
6524.9       6524.9        6524.9       6524.9        bar49         volume:0.016
6524.9       6524.9        6524.8       0        bar50         volume:0.108647
6524.7       6524.7        6524.7       0        bar51         volume:0.106076
6524.9       6524.9        6524.7       6524.7        bar50         volume:0.21247
6524.7       6524.7        6524.7       0        bar51         volume:0.212146
6524.7       6524.7        6524.6       6524.6        bar51         volume:0.230609
6524.7       6524.7        6524.7       0        bar51         volume:0.22814600000000002
6521.6       6521.6        6521.6       6521.6        bar52         volume:0.00613337
6520.6       6520.6        6520.6       6520.6        bar53         volume:0.19997
6520.6       6520.6        6520.6       6520.6        bar54         volume:1.65196
6520.6       6520.6        6520.6       6520.6        bar56         volume:0.0980276
6520.6       6520.6        6520.6       6520.6        bar55         volume:0.901972
6520.6       6520.6        6520.6       6520.6        bar57         volume:0.215686
6520.6       6520.6        6520.6       6520.6        bar59         volume:0.010703
6520.6       6520.6        6520.6       6520.6        bar58         volume:0.207582
6520.6       6520.6        6520.6       0        bar60         volume:0.566029
6520.7       6520.7        6520.7       6520.7        bar61         volume:0.989241
6520.6       6520.6        6520.6       6520.6        bar60         volume:1
6527.1       6527.1        6527.1       6527.1        bar62         volume:0.0326095
6527.1       6527.1        6527.1       6527.1        bar64         volume:0.002463
6527.1       6527.1        6527.1       6527.1        bar63         volume:0.002465
6527.1       6527.1        6527.1       6527.1        bar65         volume:0.282654
6527.1       6527.1        6527.1       6527.1        bar66         volume:0.00072863
6527.2       6527.2        6527.2       6527.2        bar67         volume:0.925709
6528.9       6528.9        6528.9       6528.9        bar69         volume:1
6528.9       6528.9        6528.9       6528.9        bar68         volume:0.28
6528.9       6528.9        6528.9       6528.9        bar70         volume:1
6529       6529        6529       6529        bar71         volume:0.869898
6530       6530        6530       6530        bar73         volume:0.303355
6529.1       6529.1        6529.1       6529.1        bar72         volume:0.002
6528.1       6528.1        6528.1       6528.1        bar74         volume:0.0388127
6528.1       6528.1        6528.1       6528.1        bar76         volume:0.0413377
6529.6       6529.6        6529.6       6529.6        bar77         volume:0.02
6528.1       6528.1        6528.1       6528.1        bar75         volume:0.04
6530       6530        6530       6530        bar78         volume:1.25628
6530       6530        6530       6530        bar79         volume:0.603572
6530       6530        6530       0        bar80         volume:0.04
6530       6530        6530       0        bar80         volume:0.5
6530       6530        6528.9       0        bar80         volume:0.77876
6530       6530        6528.6       0        bar80         volume:0.90876
6530       6530        6528       6528        bar80         volume:3.14015
6528.3       6528.3        6528.3       0        bar81         volume:0.372
6528.3       6528.3        6528.2       0        bar81         volume:1.3719999999999999
6528.3       6528.3        6528.2       0        bar81         volume:4.433
6528.3       6528.3        6528.2       0        bar81         volume:4.723
6528.3       6528.3        6528.1       6528.1        bar81         volume:5
6530.9       6530.9        6530.9       6530.9        bar82         volume:0.00238081
6528.1       6528.1        6528.1       0        bar83         volume:0.15
6528.1       6528.1        6528       0        bar83         volume:2.15761
6528.1       6528.1        6526.8       0        bar83         volume:3
6528.1       6528.1        6526.8       0        bar83         volume:3.65
6528.1       6528.1        6526.8       0        bar83         volume:3.15
6527.1       6527.1        6527.1       0        bar84         volume:0.15
6528.1       6528.1        6526.8       6526.9        bar83         volume:4
6527.1       6527.1        6526.9       6526.9        bar84         volume:0.5
6527       6527        6527       0        bar86         volume:0.15
6527       6527        6526.9       0        bar86         volume:0.44999999999999996
6527       6527        6520.7       6520.7        bar86         volume:4.999995
6527       6527        6521.7       0        bar86         volume:0.48717499999999997
6527.1       6527.1        6527.1       0        bar87         volume:1
6527.1       6527.1        6523.5       0        bar87         volume:2.15
6527.1       6527.1        6525.2       0        bar87         volume:1.15
6527.1       6527.1        6521.7       0        bar87         volume:2.19
6527.1       6527.1        6520.7       6520.7        bar87         volume:5
6527.2       6527.2        6527.2       6527.2        bar88         volume:0.29
6529.8       6529.8        6529.8       6529.8        bar89         volume:0.173307
6527.2       6527.2        6527.2       6527.2        bar90         volume:0.0525284
6527.2       6527.2        6527.2       6527.2        bar91         volume:0.00013155
6529.4       6529.4        6529.4       6529.4        bar92         volume:0.051585
6529.3       6529.3        6529.3       6529.3        bar93         volume:0.184776
6527.2       6527.2        6527.2       6527.2        bar94         volume:0.005
6527.2       6527.2        6527.2       6527.2        bar95         volume:0.002
6528.9       6528.9        6528.9       6528.9        bar96         volume:0.007
6529.4       6529.4        6529.4       6529.4        bar97         volume:0.007
6529.7       6529.7        6529.7       6529.7        bar98         volume:0.153146
6529.6       6529.6        6529.6       6529.6        bar99         volume:0.141578
6529.6       6529.6        6529.6       6529.6        bar100         volume:0.0305617
6529.6       6529.6        6529.6       0        bar101         volume:0.00656004
6529.6       6529.6        6529.6       0        bar101         volume:0.07474604
6529.6       6529.6        6529.6       0        bar101         volume:0.11943834
6529.6       6529.6        6529.6       0        bar101         volume:0.14443834
6529.6       6529.6        6529.6       0        bar101         volume:0.16943834
6529.6       6529.6        6529.6       0        bar101         volume:0.19443834
6529.6       6529.6        6529.6       0        bar101         volume:0.21943833999999998
6529.6       6529.6        6529.6       0        bar101         volume:0.26943834
6529.6       6529.6        6529.6       0        bar101         volume:0.31943834
6529.6       6529.6        6529.6       0        bar101         volume:0.32786075
6529.6       6529.6        6529.4       6529.4        bar101         volume:0.33986075
6527.8       6527.8        6527.8       6527.8        bar102         volume:0.002
6529.5       6529.5        6529.5       0        bar103         volume:0.00976987
6529.5       6529.5        6529.5       0        bar103         volume:0.03476987
6529.5       6529.5        6529.5       0        bar103         volume:0.04157759
6529.5       6529.5        6529.5       0        bar103         volume:0.05664309
6529.5       6529.5        6529.5       0        bar103         volume:0.06657763
6529.5       6529.5        6529.5       6529.5        bar103         volume:0.25000003
6529.5       6529.5        6529.5       0        bar103         volume:0.21657763
6527.8       6527.8        6527.8       6527.8        bar104         volume:0.008
6529.4       6529.4        6529.4       0        bar105         volume:0.219474
6529.4       6529.4        6528       6528.2        bar105         volume:0.229474
6529.4       6529.4        6528       0        bar105         volume:0.222474
6528.5       6528.5        6528.5       6528.5        bar106         volume:0.006
6528.5       6528.5        6528.5       0        bar107         volume:0.004
6528.5       6529.4        6528.5       6529.4        bar107         volume:0.0227714
6529       6529        6529       0        bar108         volume:0.004
6529       6529.1        6529       6529.1        bar108         volume:0.007
6529       6529.4        6529       6529.4        bar109         volume:0.418596
6529.4       6529.4        6529.4       0        bar110         volume:0.0225329
6529       6529        6529       0        bar109         volume:0.002
6529.4       6529.6        6529.4       0        bar110         volume:0.0745329
6529.4       6530        6529.4       0        bar110         volume:0.3912469
6527.5       6527.5        6527.5       6527.5        bar85         volume:0.15
6529.4       6529.4        6529.4       0        bar111         volume:0.007
6529.4       6530        6529.2       6530        bar110         volume:0.3992929
6529.4       6529.5        6529.4       0        bar111         volume:0.159
6529.4       6530        6529.2       0        bar110         volume:0.3962469
6529.7       6529.7        6529.7       0        bar112         volume:0.102815
6529.4       6529.5        6529.4       6529.5        bar111         volume:0.29212
6529.7       6529.7        6529.6       6529.6        bar112         volume:0.150916
6529.6       6529.6        6529.6       0        bar113         volume:0.149084
6529.6       6529.6        6529.5       0        bar113         volume:0.154084
6529.4       6529.5        6529.4       0        bar111         volume:0.157
6529.6       6529.6        6529.6       0        bar113         volume:0.15000016
6529.6       6530        6529.5       0        bar113         volume:4.154084
6529.6       6530        6529.5       6530        bar113         volume:9.554084
6530       6530        6530       0        bar114         volume:0.116578
6530       6530        6530       0        bar114         volume:0.291578
6530       6530        6530       0        bar114         volume:0.266578
6530       6530        6530       0        bar114         volume:0.316578
6530       6530        6530       0        bar114         volume:0.36657800000000007
6530       6530        6530       0        bar114         volume:0.34157800000000005
6530       6530        6530       0        bar114         volume:0.3915780000000001
6530       6530        6530       0        bar114         volume:0.5020252600000001
6530       6530        6530       0        bar114         volume:0.4165780000000001
6530       6530        6530       0        bar114         volume:0.5000004000000001
6530       6530        6530       6530        bar114         volume:0.5040501200000002
6530       6530        6530       0        bar115         volume:1.841516
6530       6530        6530       6530        bar115         volume:3.5415159999999997
6527       6527        6521.1       0        bar86         volume:3.548175
6529.9       6529.9        6529.9       6529.9        bar116         volume:0.004
6529.9       6529.9        6529.9       0        bar118         volume:0.002
